,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
#️⃣,symbols,keycap number sign,[hash],0023-fe0f-20e3,"[keycap, symbol, pound, hash, number]",0023_fe0f_20e3,#️⃣,,,
*️⃣,symbols,keycap asterisk,[asterisk],002a-fe0f-20e3,"[keycap, symbol, asterisk, star]",002a_fe0f_20e3,*️⃣,[:keycap_asterisk:],,
0️⃣,symbols,keycap digit zero,[zero],0030-fe0f-20e3,"[, keycap, symbol, number, zero, math]",0030_fe0f_20e3,0️⃣,,,
1️⃣,symbols,keycap digit one,[one],0031-fe0f-20e3,"[, keycap, symbol, number, one, math]",0031_fe0f_20e3,1️⃣,,,
2️⃣,symbols,keycap digit two,[two],0032-fe0f-20e3,"[, keycap, symbol, two, number, math]",0032_fe0f_20e3,2️⃣,,,
3️⃣,symbols,keycap digit three,[three],0033-fe0f-20e3,"[, keycap, symbol, three, number, math]",0033_fe0f_20e3,3️⃣,,,
4️⃣,symbols,keycap digit four,[four],0034-fe0f-20e3,"[, keycap, symbol, number, four, math]",0034_fe0f_20e3,4️⃣,,,
5️⃣,symbols,keycap digit five,[five],0035-fe0f-20e3,"[, keycap, symbol, number, five, math]",0035_fe0f_20e3,5️⃣,,,
6️⃣,symbols,keycap digit six,[six],0036-fe0f-20e3,"[, keycap, symbol, six, number, math]",0036_fe0f_20e3,6️⃣,,,
7️⃣,symbols,keycap digit seven,[seven],0037-fe0f-20e3,"[, seven, keycap, symbol, number, math]",0037_fe0f_20e3,7️⃣,,,
8️⃣,symbols,keycap digit eight,[eight],0038-fe0f-20e3,"[, keycap, symbol, number, eight, math]",0038_fe0f_20e3,8️⃣,,,
9️⃣,symbols,keycap digit nine,[nine],0039-fe0f-20e3,"[, keycap, symbol, number, nine, math]",0039_fe0f_20e3,9️⃣,,,
©,symbols,copyright sign,[copyright],00a9-fe0f,"[symbol, copyright]",00a9,©,,,
®,symbols,registered sign,[registered],00ae-fe0f,"[registered, symbol]",00ae,®,,,
‼,symbols,double exclamation mark,[bangbang],203c-fe0f,"[bangbang, exclamation, symbol, punctuation, mark]",203c,‼,,,
⁉,symbols,exclamation question mark,[interrobang],2049-fe0f,"[exclamation, symbol, punctuation, question, mark, interrobang]",2049,⁉,,,
™,symbols,trade mark sign,[tm],2122-fe0f,"[symbol, tm, trademark, mark]",2122,™,,,
ℹ,symbols,information source,[information_source],2139-fe0f,"[i, information, symbol]",2139,ℹ,,,
↔,symbols,left right arrow,[left_right_arrow],2194-fe0f,"[symbol, arrow]",2194,↔,,,
↕,symbols,up down arrow,[arrow_up_down],2195-fe0f,"[symbol, arrow]",2195,↕,,,
↖,symbols,north west arrow,[arrow_upper_left],2196-fe0f,"[symbol, direction, intercardinal, northwest, arrow]",2196,↖,,,
↗,symbols,north east arrow,[arrow_upper_right],2197-fe0f,"[northeast, direction, intercardinal, symbol, arrow]",2197,↗,,,
↘,symbols,south east arrow,[arrow_lower_right],2198-fe0f,"[southeast, direction, intercardinal, symbol, arrow]",2198,↘,,,
↙,symbols,south west arrow,[arrow_lower_left],2199-fe0f,"[direction, intercardinal, symbol, arrow, southwest]",2199,↙,,,
↩,symbols,leftwards arrow with hook,[leftwards_arrow_with_hook],21a9-fe0f,"[symbol, arrow]",21a9,↩,,,
↪,symbols,rightwards arrow with hook,[arrow_right_hook],21aa-fe0f,"[symbol, arrow]",21aa,↪,,,
⌚,objects,watch,[watch],231a-fe0f,"[electronics, time, watch, clock]",231a,⌚,,,
⌛,objects,hourglass,[hourglass],231b-fe0f,"[sand, object, time, timer, hourglass]",231b,⌛,,,
⌨,objects,keyboard,[keyboard],2328-fe0f,"[work, electronics, computer, office, keyboard]",2328,⌨,,,
⏏,,eject symbol,[eject],,[eject],23cf,⏏,,,
⏩,symbols,black right pointing double triangle,[fast_forward],,"[forward, double, symbol, fast, arrow]",23e9,⏩,,black right-pointing double triangle,
⏪,symbols,black left pointing double triangle,[rewind],,"[double, symbol, arrow, rewind]",23ea,⏪,,black left-pointing double triangle,
⏫,symbols,black up pointing double triangle,[arrow_double_up],,"[double, symbol, arrow]",23eb,⏫,,black up-pointing double triangle,
⏬,symbols,black down pointing double triangle,[arrow_double_down],,"[down, double, symbol, arrow]",23ec,⏬,,black down-pointing double triangle,
⏭,symbols,black right pointing double triangle with vertical bar,"[track_next, next_track]",23ed-fe0f,"[triangle, next scene, symbol, next track, arrow]",23ed,⏭,[:next_track:],black right-pointing double triangle with vertical bar,
⏮,symbols,black left pointing double triangle with vertical bar,"[track_previous, previous_track]",23ee-fe0f,"[triangle, previous scene, symbol, previous track, arrow]",23ee,⏮,[:previous_track:],black left-pointing double triangle with vertical bar,
⏯,symbols,black right pointing triangle with double vertical bar,[play_pause],23ef-fe0f,"[play, pause, triangle, symbol, right, arrow]",23ef,⏯,,black right-pointing double triangle with double vertical bar,
⏰,objects,alarm clock,[alarm_clock],,"[alarm, object, time, clock]",23f0,⏰,,,
⏱,objects,stopwatch,[stopwatch],23f1-fe0f,"[stopwatch, electronics, time, clock]",23f1,⏱,,,
⏲,objects,timer clock,"[timer, timer_clock]",23f2-fe0f,"[object, time, timer, clock]",23f2,⏲,[:timer_clock:],,
⏳,objects,hourglass with flowing sand,[hourglass_flowing_sand],,"[sand, object, time, timer, hourglass]",23f3,⏳,,,
⏸,symbols,double vertical bar,"[pause_button, double_vertical_bar]",23f8-fe0f,"[double, symbol, pause, bar, vertical]",23f8,⏸,[:double_vertical_bar:],,
⏹,symbols,black square for stop,[stop_button],23f9-fe0f,"[symbol, square, stop]",23f9,⏹,,,
⏺,symbols,black circle for record,[record_button],23fa-fe0f,"[record, circle, symbol]",23fa,⏺,,,
Ⓜ,symbols,circled latin capital letter m,[m],24c2-fe0f,"[circle, m, symbol]",24c2,Ⓜ,,,
▪,symbols,black small square,[black_small_square],25aa-fe0f,"[shapes, geometric, square, symbol]",25aa,▪,,,
▫,symbols,white small square,[white_small_square],25ab-fe0f,"[shapes, geometric, square, symbol]",25ab,▫,,,
▶,symbols,black right pointing triangle,[arrow_forward],25b6-fe0f,"[play, right, triangle, symbol, arrow]",25b6,▶,,black right-pointing triangle,
◀,symbols,black left pointing triangle,[arrow_backward],25c0-fe0f,"[symbol, triangle, reverse, arrow, left]",25c0,◀,,black left-pointing triangle,
◻,symbols,white medium square,[white_medium_square],25fb-fe0f,"[shapes, geometric, square, symbol]",25fb,◻,,,
◼,symbols,black medium square,[black_medium_square],25fc-fe0f,"[shapes, geometric, square, symbol]",25fc,◼,,,
◽,symbols,white medium small square,[white_medium_small_square],25fd-fe0f,"[shapes, geometric, square, symbol]",25fd,◽,,,
◾,symbols,black medium small square,[black_medium_small_square],25fe-fe0f,"[shapes, geometric, square, symbol]",25fe,◾,,,
☀,nature,black sun with rays,[sunny],2600-fe0f,"[rays, space, sun, sunny, hot, morning, bright, weather, day, sky]",2600,☀,,,
☁,nature,cloud,[cloud],2601-fe0f,"[cold, weather, sky, rain, cloud]",2601,☁,,,
☂,nature,umbrella,[umbrella2],2602-fe0f,"[umbrella, object, sky, rain, weather, cold, clothing]",2602,☂,,,
☃,nature,snowman,[snowman2],2603-fe0f,"[snowman, winter, snow, holidays, weather, cold, christmas]",2603,☃,,,
☄,nature,comet,[comet],2604-fe0f,"[comet, sky, space]",2604,☄,,,
☎,objects,black telephone,[telephone],260e-fe0f,"[phone, electronics, telephone]",260e,☎,,,
☑,symbols,ballot box with check,[ballot_box_with_check],2611-fe0f,"[box, symbol, ballot, check]",2611,☑,,,
☔,nature,umbrella with rain drops,[umbrella],2614-fe0f,"[umbrella, drop, sky, rain, weather, cold, clothing]",2614,☔,,,
☕,food,hot beverage,[coffee],2615-fe0f,"[coffee, steaming, tea, drink, caffeine, morning, hot, beverage, steam]",2615,☕,,,
☘,nature,shamrock,[shamrock],2618-fe0f,"[shamrock, plant, luck, leaf, nature]",2618,☘,,,
☝,people,white up pointing index,[point_up],261d-fe0f,"[body, index, diversity, point, emojione, up, hand, finger, hands]",261d,☝,,,
☝🏻,people,white up pointing index type,[point_up_tone1],,[],261d_1f3fb,☝🏻,,white up pointing index tone 1,
☝🏼,people,white up pointing index type,[point_up_tone2],,[],261d_1f3fc,☝🏼,,white up pointing index tone 2,
☝🏽,people,white up pointing index type,[point_up_tone3],,[],261d_1f3fd,☝🏽,,white up pointing index tone 3,
☝🏾,people,white up pointing index type,[point_up_tone4],,[],261d_1f3fe,☝🏾,,white up pointing index tone 4,
☝🏿,people,white up pointing index type,[point_up_tone5],,[],261d_1f3ff,☝🏿,,white up pointing index tone 5,
☠,objects,skull and crossbones,"[skull_and_crossbones, skull_crossbones]",2620-fe0f,"[body, death, monster, skull, symbol, dead, face, crossbones]",2620,☠,[:skull_and_crossbones:],,
☢,symbols,radioactive sign,"[radioactive_sign, radioactive]",2622-fe0f,"[science, symbol, radioactive]",2622,☢,[:radioactive_sign:],,
☣,symbols,biohazard sign,"[biohazard, biohazard_sign]",2623-fe0f,"[science, symbol, biohazard]",2623,☣,[:biohazard_sign:],,
☦,symbols,orthodox cross,[orthodox_cross],2626-fe0f,"[religion, symbol, christian, cross]",2626,☦,,,
☪,symbols,star and crescent,[star_and_crescent],262a-fe0f,"[religion, symbol, muslim, islam]",262a,☪,,,
☮,symbols,peace symbol,"[peace_symbol, peace]",262e-fe0f,"[drugs, symbol, peace]",262e,☮,[:peace_symbol:],,
☯,symbols,yin yang,[yin_yang],262f-fe0f,"[taoist, symbol, yin, religion, yang, tao]",262f,☯,,,
☸,symbols,wheel of dharma,[wheel_of_dharma],2638-fe0f,"[wheel, dharma, symbol, buddhist, religion]",2638,☸,,,
☹,people,white frowning face,"[white_frowning_face, frowning2]",2639-fe0f,"[emotion, sad, frown, smiley, face]",2639,☹,[:white_frowning_face:],,
☺,people,white smiling face,[relaxed],263a-fe0f,"[outlined, smiley, face, smile, relaxed, happy]",263a,☺,,,
♈,symbols,aries,[aries],2648-fe0f,"[zodiac, ram, symbol, aries]",2648,♈,,,
♉,symbols,taurus,[taurus],2649-fe0f,"[zodiac, ox, symbol, taurus, bull]",2649,♉,,,
♊,symbols,gemini,[gemini],264a-fe0f,"[zodiac, gemini, twins, symbol]",264a,♊,,,
♋,symbols,cancer,[cancer],264b-fe0f,"[symbol, zodiac, crab, cancer]",264b,♋,,,
♌,symbols,leo,[leo],264c-fe0f,"[symbol, lion, zodiac, leo]",264c,♌,,,
♍,symbols,virgo,[virgo],264d-fe0f,"[virgo, virgin, zodiac, symbol, maiden]",264d,♍,,,
♎,symbols,libra,[libra],264e-fe0f,"[scales, justice, symbol, libra, zodiac, balance]",264e,♎,,,
♏,symbols,scorpius,[scorpius],264f-fe0f,"[scorpio, zodiac, scorpion, scorpius, symbol]",264f,♏,,,
♐,symbols,sagittarius,[sagittarius],2650-fe0f,"[symbol, zodiac, archer, sagittarius]",2650,♐,,,
♑,symbols,capricorn,[capricorn],2651-fe0f,"[capricorn, zodiac, symbol, goat]",2651,♑,,,
♒,symbols,aquarius,[aquarius],2652-fe0f,"[water, zodiac, aquarius, symbol, bearer]",2652,♒,,,
♓,symbols,pisces,[pisces],2653-fe0f,"[symbol, pisces, fish, zodiac]",2653,♓,,,
♠,symbols,black spade suit,[spades],2660-fe0f,"[symbol, game, spade, card, suit]",2660,♠,,,
♣,symbols,black club suit,[clubs],2663-fe0f,"[club, symbol, game, clubs, suit, card]",2663,♣,,,
♥,symbols,black heart suit,[hearts],2665-fe0f,"[heart, love, symbol, game, suit, hearts, card]",2665,♥,,,
♦,symbols,black diamond suit,[diamonds],2666-fe0f,"[diamond, symbol, diamonds, shapes, game, suit, card]",2666,♦,,,
♨,symbols,hot springs,[hotsprings],2668-fe0f,"[steaming, springs, hot, hotsprings, symbol]",2668,♨,,,
♻,symbols,black universal recycling symbol,[recycle],267b-fe0f,"[recycle, symbol]",267b,♻,,,
♿,symbols,wheelchair symbol,[wheelchair],267f-fe0f,"[access, wheelchair, symbol]",267f,♿,,,
⚒,objects,hammer and pick,"[hammer_pick, hammer_and_pick]",2692-fe0f,"[tool, object, hammer, weapon, pick]",2692,⚒,[:hammer_and_pick:],,
⚓,travel,anchor,[anchor],2693-fe0f,"[tool, object, vacation, ship, anchor, boat, travel]",2693,⚓,,,
⚔,objects,crossed swords,[crossed_swords],2694-fe0f,"[swords, weapon, object, crossed]",2694,⚔,,,
⚖,objects,scales,[scales],2696-fe0f,"[weight, scales, justice, tool, object, libra, zodiac, balance]",2696,⚖,,,
⚗,objects,alembic,[alembic],2697-fe0f,"[science, tool, chemistry, alembic, object]",2697,⚗,,,
⚙,objects,gear,[gear],2699-fe0f,"[tool, object, gear]",2699,⚙,,,
⚛,symbols,atom symbol,"[atom_symbol, atom]",269b-fe0f,"[science, atheist, symbol, atom]",269b,⚛,[:atom_symbol:],,
⚜,symbols,fleur de lis,[fleur-de-lis],269c-fe0f,"[symbol, object, fleur de lis]",269c,⚜,,fleur-de-lis,
⚠,symbols,warning sign,[warning],26a0-fe0f,"[symbol, warning, punctuation]",26a0,⚠,,,
⚡,nature,high voltage sign,[zap],26a1-fe0f,"[electric, danger, electricity, diarrhea, sky, lightning, weather, voltage, zap]",26a1,⚡,,,
⚪,symbols,medium white circle,[white_circle],26aa-fe0f,"[shapes, circle, symbol, geometric]",26aa,⚪,,,
⚫,symbols,medium black circle,[black_circle],26ab-fe0f,"[shapes, circle, symbol, geometric]",26ab,⚫,,,
⚰,objects,coffin,[coffin],26b0-fe0f,"[dead, death, rip, coffin, object]",26b0,⚰,,,
⚱,objects,funeral urn,"[urn, funeral_urn]",26b1-fe0f,"[death, funeral, object, dead, rip, urn]",26b1,⚱,[:funeral_urn:],,
⚽,activity,soccer ball,[soccer],26bd-fe0f,"[soccer, game, ball, sport, football]",26bd,⚽,,,
⚾,activity,baseball,[baseball],26be-fe0f,"[sport, game, ball, baseball]",26be,⚾,,,
⛄,nature,snowman without snow,[snowman],26c4-fe0f,"[snowman, winter, snow, holidays, weather, cold]",26c4,⛄,,,
⛅,nature,sun behind cloud,[partly_sunny],26c5-fe0f,"[sun, weather, sky, cloud]",26c5,⛅,,,
⛈,nature,thunder cloud and rain,"[thunder_cloud_and_rain, thunder_cloud_rain]",26c8-fe0f,"[thunder, sky, rain, weather, cold, cloud]",26c8,⛈,[:thunder_cloud_and_rain:],,
⛎,symbols,ophiuchus,[ophiuchus],,"[bearer, serpent, symbol, snake, zodiac, ophiuchus]",26ce,⛎,,,
⛏,objects,pick,[pick],26cf-fe0f,"[weapon, mining, object, tool, pick]",26cf,⛏,,,
⛑,people,helmet with white cross,"[helmet_with_white_cross, helmet_with_cross]",26d1-fe0f,"[helmet, object, cross, face, job, accessories, aid, hat]",26d1,⛑,[:helmet_with_white_cross:],,
⛓,objects,chains,[chains],26d3-fe0f,"[tool, object, chain]",26d3,⛓,,,
⛔,symbols,no entry,[no_entry],26d4-fe0f,"[no, forbidden, traffic, prohibited, not, entry, circle, symbol]",26d4,⛔,,,
⛩,travel,shinto shrine,[shinto_shrine],26e9-fe0f,"[building, places, travel, vacation, religion, shrine, shinto]",26e9,⛩,,,
⛪,travel,church,[church],26ea-fe0f,"[building, christian, places, wedding, cross, religion, church, condolence]",26ea,⛪,,,
⛰,travel,mountain,[mountain],26f0-fe0f,"[mountain, travel, camp, vacation, places]",26f0,⛰,,,
⛱,objects,umbrella on ground,"[umbrella_on_ground, beach_umbrella]",26f1-fe0f,"[umbrella, sun, travel, vacation, rain, tropical, weather]",26f1,⛱,[:umbrella_on_ground:],,
⛲,travel,fountain,[fountain],26f2-fe0f,"[travel, fountain, vacation]",26f2,⛲,,,
⛳,activity,flag in hole,[golf],26f3-fe0f,"[ball, golf, flag, vacation, game, hole, sport]",26f3,⛳,,,
⛴,travel,ferry,[ferry],26f4-fe0f,"[ferry, travel, transportation, vacation, boat]",26f4,⛴,,,
⛵,travel,sailboat,[sailboat],26f5-fe0f,"[transportation, sailboat, travel, yacht, vacation, resort, sea, vehicle, boat]",26f5,⛵,,,
⛷,activity,skier,[skier],26f7-fe0f,"[ski, snow, vacation, skiing, cold, sport, hat]",26f7,⛷,,,
⛸,activity,ice skate,[ice_skate],26f8-fe0f,"[cold, skate, sport, ice skating, ice]",26f8,⛸,,,
⛹,activity,person with ball,"[basketball_player, person_with_ball]",26f9-fe0f,"[basketball, diversity, men, game, ball, sport]",26f9,⛹,[:person_with_ball:],,
⛹🏻,activity,person with ball type,"[person_with_ball_tone1, basketball_player_tone1]",,[],26f9_1f3fb,⛹🏻,[:person_with_ball_tone1:],person with ball tone 1,
⛹🏼,activity,person with ball type,"[person_with_ball_tone2, basketball_player_tone2]",,[],26f9_1f3fc,⛹🏼,[:person_with_ball_tone2:],person with ball tone 2,
⛹🏽,activity,person with ball type,"[person_with_ball_tone3, basketball_player_tone3]",,[],26f9_1f3fd,⛹🏽,[:person_with_ball_tone3:],person with ball tone 3,
⛹🏾,activity,person with ball type,"[basketball_player_tone4, person_with_ball_tone4]",,[],26f9_1f3fe,⛹🏾,[:person_with_ball_tone4:],person with ball tone 4,
⛹🏿,activity,person with ball type,"[basketball_player_tone5, person_with_ball_tone5]",,[],26f9_1f3ff,⛹🏿,[:person_with_ball_tone5:],person with ball tone 5,
⛺,travel,tent,[tent],26fa-fe0f,"[camping, places, travel, camp, vacation, tent]",26fa,⛺,,,
⛽,travel,fuel pump,[fuelpump],26fd-fe0f,"[fuelpump, object, gas, gas pump, pump, station, fuel]",26fd,⛽,,,
✂,objects,black scissors,[scissors],2702-fe0f,"[scissors, tool, object, weapon, office]",2702,✂,,,
✅,symbols,white heavy check mark,[white_check_mark],,"[symbol, check, mark]",2705,✅,,,
✈,travel,airplane,[airplane],2708-fe0f,"[fly, transportation, travel, vacation, plane, vehicle, airplane]",2708,✈,,,
✉,objects,envelope,[envelope],2709-fe0f,"[office, object, envelope, write, e mail, email]",2709,✉,,,
✊,people,raised fist,[fist],,"[body, diversity, punch, clenched, hand, hi, fist, hands, condolence, fist bump]",270a,✊,,,
✊🏻,people,raised fist type,[fist_tone1],,[],270a_1f3fb,✊🏻,,raised fist tone 1,
✊🏼,people,raised fist type,[fist_tone2],,[],270a_1f3fc,✊🏼,,raised fist tone 2,
✊🏽,people,raised fist type,[fist_tone3],,[],270a_1f3fd,✊🏽,,raised fist tone 3,
✊🏾,people,raised fist type,[fist_tone4],,[],270a_1f3fe,✊🏾,,raised fist tone 4,
✊🏿,people,raised fist type,[fist_tone5],,[],270a_1f3ff,✊🏿,,raised fist tone 5,
✋,people,raised hand,[raised_hand],,"[body, diversity, hand, hi, girls night, hands]",270b,✋,,,
✋🏻,people,raised hand type,[raised_hand_tone1],,[],270b_1f3fb,✋🏻,,raised hand tone 1,
✋🏼,people,raised hand type,[raised_hand_tone2],,[],270b_1f3fc,✋🏼,,raised hand tone 2,
✋🏽,people,raised hand type,[raised_hand_tone3],,[],270b_1f3fd,✋🏽,,raised hand tone 3,
✋🏾,people,raised hand type,[raised_hand_tone4],,[],270b_1f3fe,✋🏾,,raised hand tone 4,
✋🏿,people,raised hand type,[raised_hand_tone5],,[],270b_1f3ff,✋🏿,,raised hand tone 5,
✌,people,victory hand,[v],270c-fe0f,"[body, peace, diversity, v, hand, thank you, hi, girls night, victory, hands]",270c,✌,,,
✌🏻,people,victory hand type,[v_tone1],,[],270c_1f3fb,✌🏻,,victory hand tone 1,
✌🏼,people,victory hand type,[v_tone2],,[],270c_1f3fc,✌🏼,,victory hand tone 2,
✌🏽,people,victory hand type,[v_tone3],,[],270c_1f3fd,✌🏽,,victory hand tone 3,
✌🏾,people,victory hand type,[v_tone4],,[],270c_1f3fe,✌🏾,,victory hand tone 4,
✌🏿,people,victory hand type,[v_tone5],,[],270c_1f3ff,✌🏿,,victory hand tone 5,
✍,people,writing hand,[writing_hand],270d-fe0f,"[body, write, hands, diversity, hand]",270d,✍,,,
✍🏻,people,writing hand type,[writing_hand_tone1],,[],270d_1f3fb,✍🏻,,writing hand tone 1,
✍🏼,people,writing hand type,[writing_hand_tone2],,[],270d_1f3fc,✍🏼,,writing hand tone 2,
✍🏽,people,writing hand type,[writing_hand_tone3],,[],270d_1f3fd,✍🏽,,writing hand tone 3,
✍🏾,people,writing hand type,[writing_hand_tone4],,[],270d_1f3fe,✍🏾,,writing hand tone 4,
✍🏿,people,writing hand type,[writing_hand_tone5],,[],270d_1f3ff,✍🏿,,writing hand tone 5,
✏,objects,pencil,[pencil2],270f-fe0f,"[write, pencil, object, office]",270f,✏,,,
✒,objects,black nib,[black_nib],2712-fe0f,"[nib, write, pen, object, office]",2712,✒,,,
✔,symbols,heavy check mark,[heavy_check_mark],2714-fe0f,"[symbol, check, mark]",2714,✔,,,
✖,symbols,heavy multiplication x,[heavy_multiplication_x],2716-fe0f,"[symbol, multiplication, multiply, cancel, x, math]",2716,✖,,,
✝,symbols,latin cross,"[latin_cross, cross]",271d-fe0f,"[religion, symbol, christian, cross]",271d,✝,[:latin_cross:],,
✡,symbols,star of david,[star_of_david],2721-fe0f,"[star, jew, jewish, symbol, david, religion]",2721,✡,,,
✨,nature,sparkles,[sparkles],,"[sparkle, star, girls night, entertainment]",2728,✨,,,
✳,symbols,eight spoked asterisk,[eight_spoked_asterisk],2733-fe0f,"[symbol, asterisk]",2733,✳,,,
✴,symbols,eight pointed black star,[eight_pointed_black_star],2734-fe0f,"[symbol, star]",2734,✴,,,
❄,nature,snowflake,[snowflake],2744-fe0f,"[winter, sky, snow, holidays, weather, cold, snowflake]",2744,❄,,,
❇,symbols,sparkle,[sparkle],2747-fe0f,"[sparkle, symbol]",2747,❇,,,
❌,symbols,cross mark,[x],,"[symbol, sol, mark, multiplication, multiply, cancel, x]",274c,❌,,,
❎,symbols,negative squared cross mark,[negative_squared_cross_mark],,"[symbol, square, mark]",274e,❎,,,
❓,symbols,black question mark ornament,[question],,"[wth, symbol, punctuation, question, mark]",2753,❓,,,
❔,symbols,white question mark ornament,[grey_question],,"[outlined, punctuation, question, symbol, mark]",2754,❔,,,
❕,symbols,white exclamation mark ornament,[grey_exclamation],,"[exclamation, outlined, punctuation, symbol, mark]",2755,❕,,,
❗,symbols,heavy exclamation mark symbol,[exclamation],2757-fe0f,"[exclamation, symbol, punctuation, mark]",2757,❗,,,
❣,symbols,heavy heart exclamation mark ornament,"[heavy_heart_exclamation_mark_ornament, heart_exclamation]",2763-fe0f,"[exclamation, heart, love, symbol, punctuation, mark]",2763,❣,[:heavy_heart_exclamation_mark_ornament:],,
❤,symbols,heavy black heart,[heart],2764-fe0f,"[heart, symbol, love, parties]",2764,❤,,,[<3]
➕,symbols,heavy plus sign,[heavy_plus_sign],,"[symbol, plus, math]",2795,➕,,,
➖,symbols,heavy minus sign,[heavy_minus_sign],,"[symbol, minus, math]",2796,➖,,,
➗,symbols,heavy division sign,[heavy_division_sign],,"[division, symbol, math]",2797,➗,,,
➡,symbols,black rightwards arrow,[arrow_right],27a1-fe0f,"[direction, east, cardinal, symbol, arrow]",27a1,➡,,,
➰,symbols,curly loop,[curly_loop],,"[curl, symbol, loop]",27b0,➰,,,
➿,symbols,double curly loop,[loop],,"[double, curl, symbol, loop]",27bf,➿,,,
⤴,symbols,arrow pointing rightwards then curving upwards,[arrow_heading_up],2934-fe0f,"[symbol, arrow]",2934,⤴,,,
⤵,symbols,arrow pointing rightwards then curving downwards,[arrow_heading_down],2935-fe0f,"[down, symbol, arrow]",2935,⤵,,,
⬅,symbols,leftwards black arrow,[arrow_left],2b05-fe0f,"[west, direction, cardinal, symbol, arrow]",2b05,⬅,,,
⬆,symbols,upwards black arrow,[arrow_up],2b06-fe0f,"[north, direction, cardinal, symbol, arrow]",2b06,⬆,,,
⬇,symbols,downwards black arrow,[arrow_down],2b07-fe0f,"[direction, symbol, down, cardinal, arrow, south]",2b07,⬇,,,
⬛,symbols,black large square,[black_large_square],2b1b-fe0f,"[shapes, geometric, square, symbol]",2b1b,⬛,,,
⬜,symbols,white large square,[white_large_square],2b1c-fe0f,"[shapes, geometric, square, symbol]",2b1c,⬜,,,
⭐,nature,white medium star,[star],2b50-fe0f,"[sky, star, space]",2b50,⭐,,,
⭕,symbols,heavy large circle,[o],2b55-fe0f,"[circle, symbol, o]",2b55,⭕,,,
〰,symbols,wavy dash,[wavy_dash],3030-fe0f,"[dash, wavy, punctuation, symbol]",3030,〰,,,
〽,symbols,part alternation mark,[part_alternation_mark],303d-fe0f,"[symbol, part, mark]",303d,〽,,,
㊗,symbols,circled ideograph congratulation,[congratulations],3297-fe0f,"[congratulations, ideograph, chinese, symbol, japan, congratulation]",3297,㊗,,,
㊙,symbols,circled ideograph secret,[secret],3299-fe0f,"[japan, secret, ideograph, symbol, chinese]",3299,㊙,,,
🀄,symbols,mahjong tile red dragon,[mahjong],1f004-fe0f,"[symbol, game, object, mahjong, red]",1f004,🀄,,,
🃏,symbols,playing card black joker,[black_joker],,"[entertainment, symbol, object, joker, game, playing, card]",1f0cf,🃏,,,
🅰,symbols,negative squared latin capital letter a,[a],,"[a, symbol, blood]",1f170,🅰,,,
🅱,symbols,negative squared latin capital letter b,[b],,"[symbol, b, blood]",1f171,🅱,,,
🅾,symbols,negative squared latin capital letter o,[o2],,"[symbol, blood, o]",1f17e,🅾,,,
🅿,symbols,negative squared latin capital letter p,[parking],1f17f-fe0f,"[symbol, parking]",1f17f,🅿,,,
🆎,symbols,negative squared ab,[ab],,"[symbol, ab, blood]",1f18e,🆎,,,
🆑,symbols,squared cl,[cl],,"[symbol, cl]",1f191,🆑,,,
🆒,symbols,squared cool,[cool],,"[symbol, cool]",1f192,🆒,,,
🆓,symbols,squared free,[free],,"[symbol, free]",1f193,🆓,,,
🆔,symbols,squared id,[id],,"[symbol, id, identity]",1f194,🆔,,,
🆕,symbols,squared new,[new],,"[new, symbol]",1f195,🆕,,,
🆖,symbols,squared ng,[ng],,"[symbol, ng]",1f196,🆖,,,
🆗,symbols,squared ok,[ok],,"[symbol, ok]",1f197,🆗,,,
🆘,symbols,squared sos,[sos],,"[symbol, sos, help]",1f198,🆘,,,
🆙,symbols,squared up with exclamation mark,[up],,"[symbol, up, mark]",1f199,🆙,,,
🆚,symbols,squared vs,[vs],,"[versus, symbol, vs]",1f19a,🆚,,,
🇦🇨,flags,regional indicator symbol letter a regional indicator symbol letter c,"[ac, flag_ac]",,"[ascension, island, flag, country]",1f1e6_1f1e8,🇦🇨,[:ac:],ascension,
🇦🇩,flags,regional indicator symbol letter a regional indicator symbol letter d,"[flag_ad, ad]",,"[andorra, country, flag]",1f1e6_1f1e9,🇦🇩,[:ad:],andorra,
🇦🇪,flags,regional indicator symbol letter a regional indicator symbol letter e,"[flag_ae, ae]",,"[uae, flag, united, emirates, country]",1f1e6_1f1ea,🇦🇪,[:ae:],the united arab emirates,
🇦🇫,flags,regional indicator symbol letter a regional indicator symbol letter f,"[flag_af, af]",,"[afghanistan, flag, country]",1f1e6_1f1eb,🇦🇫,[:af:],afghanistan,
🇦🇬,flags,regional indicator symbol letter a regional indicator symbol letter g,"[flag_ag, ag]",,"[country, barbuda, flag, antigua]",1f1e6_1f1ec,🇦🇬,[:ag:],antigua and barbuda,
🇦🇮,flags,regional indicator symbol letter a regional indicator symbol letter i,"[ai, flag_ai]",,"[country, flag, anguilla]",1f1e6_1f1ee,🇦🇮,[:ai:],anguilla,
🇦🇱,flags,regional indicator symbol letter a regional indicator symbol letter l,"[flag_al, al]",,"[country, flag, albania]",1f1e6_1f1f1,🇦🇱,[:al:],albania,
🇦🇲,flags,regional indicator symbol letter a regional indicator symbol letter m,"[flag_am, am]",,"[country, flag, armenia]",1f1e6_1f1f2,🇦🇲,[:am:],armenia,
