,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🍀,nature,four leaf clover,[four_leaf_clover],,"[, clover, plant, leaf, nature, sol, four, luck]",1f340,🍀,,,
🍁,nature,maple leaf,[maple_leaf],,"[falling, leaf, plant, maple, nature]",1f341,🍁,,,
🍂,nature,fallen leaf,[fallen_leaf],,"[falling, leaf, plant, nature]",1f342,🍂,,,
🍃,nature,leaf fluttering in wind,[leaves],,"[blow, plant, leaf, nature, flutter, wind]",1f343,🍃,,,
🍄,nature,mushroom,[mushroom],,"[drugs, plant, mushroom, nature]",1f344,🍄,,,
🍅,food,tomato,[tomato],,"[tomato, plant, food, vegetables, fruit, vegetable]",1f345,🍅,,,
🍆,food,aubergine,[eggplant],,"[plant, aubergine, food, vegetables, penis, eggplant, vegetable]",1f346,🍆,,,
🍇,food,grapes,[grapes],,"[food, plant, fruit, grape]",1f347,🍇,,,
🍈,food,melon,[melon],,"[melon, food, plant, fruit, boobs]",1f348,🍈,,,
🍉,food,watermelon,[watermelon],,"[food, plant, fruit, watermelon]",1f349,🍉,,,
🍊,food,tangerine,[tangerine],,"[orange, food, plant, fruit, tangerine]",1f34a,🍊,,,
🍋,food,lemon,[lemon],,"[citrus, food, plant, fruit, lemon]",1f34b,🍋,,,
🍌,food,banana,[banana],,"[penis, food, plant, fruit, banana]",1f34c,🍌,,,
🍍,food,pineapple,[pineapple],,"[food, tropical, plant, fruit, pineapple]",1f34d,🍍,,,
🍎,food,red apple,[apple],,"[plant, apple, food, fruit, red, creationism]",1f34e,🍎,,,
🍏,food,green apple,[green_apple],,"[food, plant, fruit, green, apple]",1f34f,🍏,,,
🍐,food,pear,[pear],,"[food, plant, fruit, pear]",1f350,🍐,,,
🍑,food,peach,[peach],,"[food, plant, fruit, peach, butt]",1f351,🍑,,,
🍒,food,cherries,[cherries],,"[food, cherry, plant, fruit]",1f352,🍒,,,
🍓,food,strawberry,[strawberry],,"[food, strawberry, plant, fruit, berry]",1f353,🍓,,,
🍔,food,hamburger,[hamburger],,"[food, burger, america, hamburger]",1f354,🍔,,,
🍕,food,slice of pizza,[pizza],,"[cheese, slice, food, boys night, pizza, italian]",1f355,🍕,,,
🍖,food,meat on bone,[meat_on_bone],,"[food, meat, bone]",1f356,🍖,,,
🍗,food,poultry leg,[poultry_leg],,"[poultry, leg, food, holidays, chicken, bone]",1f357,🍗,,,
🍘,food,rice cracker,[rice_cracker],,"[food, rice, cracker, sushi]",1f358,🍘,,,
